_id,constituency,district,name,gender,age,party,const_category,total_electors,total_const_votes,votes,candidate_voteshare_percent
425,Yadgir,Yadgir,Ananth Reddy Kandalli,M,28,IND,GEN,190536,119778,1103,0.92
426,Yadgir,Yadgir,Jalandhar Rao,M,41,IND,GEN,190536,119778,932,0.78
427,Yadgir,Yadgir,Basavaraj,M,43,BSP,GEN,190536,119778,826,0.69
428,Yadgir,Yadgir,Veer Baswant Reddy,M,61,KJP,GEN,190536,119778,31330,26.16
429,Yadgir,Yadgir,Dr. Maalakareddy,M,75,INC,GEN,190536,119778,40434,33.76
430,Gurmitkal,Yadgir,Baburao Chinchanasoor,M,62,INC,GEN,203045,129030,36051,27.94
431,Gurmitkal,Yadgir,Sabanna,M,36,IND,GEN,203045,129030,1087,0.84
432,Gurmitkal,Yadgir,Chandrashekhar T. Dasankeri,M,27,IND,GEN,203045,129030,698,0.54
433,Gurmitkal,Yadgir,Dr. Devanand Koli,M,43,LJP,GEN,203045,129030,645,0.5
434,Gurmitkal,Yadgir,P.Kannayya,M,38,IND,GEN,203045,129030,615,0.48
435,Gurmitkal,Yadgir,Nagana Gouda Kandakura,M,67,JD(S),GEN,203045,129030,34401,26.66
436,Gurmitkal,Yadgir,Venkatareddy Vishwanathreddy Mudnal,M,58,KJP,GEN,203045,129030,32362,25.08
437,Gurmitkal,Yadgir,Girish Mattennavar,M,35,BJP,GEN,203045,129030,9795,7.59
438,Gurmitkal,Yadgir,Shaik Mehaboob,M,42,IND,GEN,203045,129030,4432,3.43
439,Gurmitkal,Yadgir,Babu Chavhan,M,36,BSRC,GEN,203045,129030,1860,1.44
440,Gurmitkal,Yadgir,Sathyanarayana Yadav,M,54,SP,GEN,203045,129030,1277,0.99
441,Gurmitkal,Yadgir,Krishna Bhimarao Badigera,M,38,IND,GEN,203045,129030,953,0.74
442,Gurmitkal,Yadgir,Mallikarjun M.Kantimani,M,42,IND,GEN,203045,129030,895,0.69
443,Gurmitkal,Yadgir,Shalini Louis Kori,F,37,IND,GEN,203045,129030,824,0.64
444,Gurmitkal,Yadgir,Sanjivkumar Madival,M,33,KMP,GEN,203045,129030,804,0.62
445,Gurmitkal,Yadgir,Shivalingappa Kinnura,M,71,BSP,GEN,203045,129030,1211,0.94
446,Gurmitkal,Yadgir,Anilkumar,M,31,IND,GEN,203045,129030,1120,0.87
447,Chittapur,Gulbarga,Priyank M. Kharge,M,34,INC,SC,190429,123716,69379,56.08
448,Chittapur,Gulbarga,Valmiki Naik,M,65,BJP,SC,190429,123716,38188,30.87
449,Chittapur,Gulbarga,Gurunath,M,65,KJP,SC,190429,123716,9596,7.76
450,Chittapur,Gulbarga,Raju Mukkanna Wadi,M,46,IND,SC,190429,123716,1546,1.25
451,Chittapur,Gulbarga,Ayyappa Ramateerth,M,34,BSP,SC,190429,123716,1310,1.06
452,Chittapur,Gulbarga,Dhanalaxmi Rathod,F,48,WPOI,SC,190429,123716,1103,0.89
453,Chittapur,Gulbarga,Mahesh Kashi,M,29,IND,SC,190429,123716,982,0.79
454,Chittapur,Gulbarga,Tippanna Odeyaraj,M,26,JD(S),SC,190429,123716,955,0.77
455,Chittapur,Gulbarga,Ramadevi R Madgi,F,34,IND,SC,190429,123716,657,0.53
456,Sedam,Gulbarga,Shankar Bandi,M,32,JD(U),GEN,185201,135976,420,0.31
457,Sedam,Gulbarga,Shivsharnappa Mailari,M,42,BSP,GEN,185201,135976,1589,1.17
458,Sedam,Gulbarga,Vaijnath Patil,M,74,KJP,GEN,185201,135976,6148,4.52
459,Sedam,Gulbarga,Jagannath Reddy Nagareddy Gotur,M,46,IND,GEN,185201,135976,535,0.39
460,Sedam,Gulbarga,Kannayya Madana Deshmukh,M,57,BSRC,GEN,185201,135976,412,0.3
461,Sedam,Gulbarga,Gundappa R. Mukrambi,M,51,IND,GEN,185201,135976,352,0.26
462,Sedam,Gulbarga,Dr Sharanprakash Patil,M,46,INC,GEN,185201,135976,53546,39.38
463,Sedam,Gulbarga,Venkatesh Maruti Mengaji,M,48,IND,GEN,185201,135976,2034,1.5
464,Sedam,Gulbarga,Amrutappa,M,58,SP,GEN,185201,135976,353,0.26
465,Sedam,Gulbarga,Mukram Khan,M,55,JD(S),GEN,185201,135976,27047,19.89
466,Sedam,Gulbarga,Mohammed Ali (Baba Saheb),M,41,IND,GEN,185201,135976,1141,0.84
467,Sedam,Gulbarga,Rajkumar Patil,M,38,BJP,GEN,185201,135976,41651,30.63
468,Sedam,Gulbarga,Mukund Reddy Nagareddy,M,37,IND,GEN,185201,135976,748,0.55
469,Chincholi,Gulbarga,Dr Umesh G Jadav,M,54,INC,SC,169337,112983,58599,51.87
470,Chincholi,Gulbarga,Vithal Keri Ambalga,M,61,BSRC,SC,169337,112983,308,0.27
471,Chincholi,Gulbarga,Mallikarjun Gajre,M,48,JD(S),SC,169337,112983,1218,1.08
472,Chincholi,Gulbarga,Gopal L Rattod,M,28,SP,SC,169337,112983,448,0.4
473,Chincholi,Gulbarga,Goutam B Bomnalli,M,27,BSP,SC,169337,112983,1374,1.22
474,Chincholi,Gulbarga,Sunil Mothilal,M,28,IND,SC,169337,112983,3081,2.73
475,Chincholi,Gulbarga,Sandeep Chawan,M,26,IND,SC,169337,112983,1288,1.14
476,Chincholi,Gulbarga,Sunil Vallyapur,M,47,KJP,SC,169337,112983,32539,28.8
477,Chincholi,Gulbarga,Dr. Omraj Rattod,M,35,IND,SC,169337,112983,588,0.52
478,Chincholi,Gulbarga,Venkateshwarao Kupavat,M,29,JD(U),SC,169337,112983,678,0.6
479,Chincholi,Gulbarga,Ramesh Yakapur,M,58,BJP,SC,169337,112983,12333,10.92
480,Chincholi,Gulbarga,Basavaraj. M. Wadi,M,36,IND,SC,169337,112983,529,0.47
481,Gulbarga Rural,Gulbarga,G.Ramkrishna,M,72,INC,SC,211123,123418,40075,32.47
482,Gulbarga Rural,Gulbarga,D.G.Sagar,M,56,JD(S),SC,211123,123418,8612,6.98
483,Gulbarga Rural,Gulbarga,Laxman Kishan Rathod,M,38,BHPP,SC,211123,123418,612,0.5
484,Gulbarga Rural,Gulbarga,Ambaraya S.Belamgi,M,39,BSP,SC,211123,123418,1584,1.28
485,Gulbarga Rural,Gulbarga,Satish Basavaraj Shinde,M,28,IND,SC,211123,123418,1426,1.16
486,Gulbarga Rural,Gulbarga,Shivasharanppa,M,39,IND,SC,211123,123418,556,0.45
487,Gulbarga Rural,Gulbarga,Mastan C.Dande,M,39,RPI(A),SC,211123,123418,693,0.56
488,Gulbarga Rural,Gulbarga,Baburao Chauhan,M,57,KJP,SC,211123,123418,26612,21.56
489,Gulbarga Rural,Gulbarga,Revunayak Belamgi,M,72,BJP,SC,211123,123418,32866,26.63
490,Gulbarga Rural,Gulbarga,Niganna S. Jambagi,M,27,SUCI,SC,211123,123418,1673,1.36
491,Gulbarga Rural,Gulbarga,T.N.Rathod,M,72,IND,SC,211123,123418,805,0.65
