,constituency,district,name,gender,age,party,const_category,total_electors,total_const_votes,votes,candidate_voteshare_percent
69,Gubbi,Tumkur,S.R.Srinivas,M,51,JD(S),GEN,167885,139659,58783,42.09
70,Gulbarga Dakshin,Gulbarga,Dattatraya C.Patil Revoor (Appu Gouda),M,31,BJP,GEN,211956,117303,36850,31.41
71,Gulbarga Rural,Gulbarga,G. Ram Krishana,M,72,INC,SC,211123,123418,40075,32.47
72,Gulbarga Uttar,Gulbarga,Qamarul Islam,M,66,INC,GEN,208698,104839,50498,48.17
73,Gundlupet,Chamarajnagar,H S Mahadevaprasad,M,55,INC,GEN,190420,162326,73723,45.42
74,Gurmitkal,Yadgir,Baburao Chinchanasoor,M,62,INC,GEN,203045,129030,36051,27.94
75,Hadagalli,Bellary,P.T .Parameshwaranaik,M,48,INC,SC,157285,116099,59336,51.11
76,Hagaribommanahalli,Bellary,Bheema Naik.L.B.P.,M,39,JD(S),SC,185145,144826,51972,35.89
77,Haliyal,Uttara Kannada,Deshpande Raghunath,M,66,INC,GEN,157649,120150,55005,45.78
78,Hangal,Haveri,Manohar Thashildar,M,67,INC,GEN,173934,144395,66324,45.93
79,Hanur,Chamarajnagar,R Narendra,M,55,INC,GEN,181142,137852,55684,40.39
80,Harapanahalli,Davangere,M P Ravindra,M,44,INC,GEN,184923,150223,56954,37.91
81,Harihar,Davangere,H.S. Shivashankar,M,44,JD(S),GEN,194111,150743,59666,39.58
82,Hassan,Hassan,H.S.Prakash,M,61,JD(S),GEN,188414,131059,61306,46.78
83,Haveri,Haveri,Rudrappa Manappa Lamani,M,54,INC,SC,198638,150469,83119,55.24
84,Hebbal,B.B.M.P(North),R Jagadeesh Kumar,M,56,BJP,GEN,210497,115540,38162,33.03
85,Heggadadevankote,Mysore,Chikkamadu S,M,62,JD(S),ST,192784,148917,48606,32.64
86,Hirekerur,Haveri,U. B. Banakar,M,53,KJP,GEN,162016,132997,52623,39.57
87,Hiriyur,Chitradurga,Sudhakara D,M,52,INC,GEN,216172,160397,71661,44.68
88,Holalkere,Chitradurga,H Anjaneya,M,58,INC,SC,204469,162979,76856,47.16
89,Holenarasipur,Hassan,H.D.Revanna,M,55,JD(S),GEN,198333,162263,92713,57.14
90,Honnali,Davangere,D G Shantana Gowda,M,65,INC,GEN,174516,149119,78789,52.84
91,Hosadurga,Chitradurga,B.G.Govindappa,M,58,INC,GEN,175379,140003,58010,41.43
92,Hosakote,Bangalore Rural,N.Nagaraju [M.T.B],M,61,INC,GEN,182905,166395,85238,51.23
93,Hubli-Dharwad Central,Dharwad,Jagadish Shettar,M,57,BJP,GEN,212179,117311,58201,49.61
94,Hubli-Dharwad East,Dharwad,Abbayya Prasad,M,44,INC,SC,174347,109094,42353,38.82
95,Hubli-Dharwad West,Dharwad,Arvind Chandrakant Bellad,M,43,BJP,GEN,220564,126910,42003,33.1
96,Hukkeri,Belgaum,Umesh Katti,M,52,BJP,GEN,175565,132961,81810,61.53
97,Humnabad,Bidar,Rajshekar Baswaraj Patil,M,49,INC,GEN,206145,136013,64694,47.56
98,Hungund,Bagalkot,Vijayanand Kashappanavar,M,41,INC,GEN,191972,137024,72720,53.07
99,Hunsur,Mysore,H.P. Manjunath,M,45,INC,GEN,203627,161496,83930,51.97
100,Indi,Bijapur,Yashavantharayagouda Patil,M,45,INC,GEN,200749,138775,58562,42.2
101,Jagalur,Davangere,H.P.Rajesh,M,47,INC,ST,167330,132149,77805,58.88
102,Jamkhandi,Bagalkot,Siddu B. Nyamagouda,M,63,INC,GEN,176718,131750,49145,37.3
103,Jayanagar,B.B.M.P(South),B.N Vijaykumar,M,54,BJP,GEN,170907,95565,43990,46.03
104,Jevargi,Gulbarga,Ajay Dharmsingh,M,39,INC,GEN,197259,144563,67038,46.37
105,K.R.Pura,B.B.M.P(North),B.A. Basavaraja,M,48,INC,GEN,339784,200184,106299,53.1
106,Kadur,Chikmagalur,Y.S.V.Datta,M,59,JD(S),GEN,182892,141538,68733,48.56
107,Kagwad,Belgaum,Bharamgouda Alagouda Kage,M,55,BJP,GEN,164201,129200,41784,32.34
108,Kalghatgi,Dharwad,Santhosh Lad,M,38,INC,GEN,168350,131588,76802,58.37
109,Kampli,Bellary,T.H. Suresh Babu,M,30,BSRC,ST,182270,140277,70858,50.51
110,Kanakagiri,Koppal,Shivaraj Sangappa Tangadagi,M,42,INC,SC,183620,135446,49451,36.51
111,Kanakapura,Ramanagaram,D.K.Shivakumar,M,51,INC,GEN,210997,176151,100007,56.77
