const_num,constituency,votes,total_electors,Year,vote_share_percentage,vote_share_percent
33,Sindgi,1222,224963,2018,0.5432004374052622,0.5432004374052622
34,Afzalpur,1243,220007,2018,0.5649820232992587,0.5649820232992587
35,Jevargi,1310,234403,2018,0.5588665674074137,0.5588665674074137
36,Shorapur,1720,275668,2018,0.6239389410450251,0.6239389410450251
37,Shahapur,1422,225803,2018,0.6297524833593885,0.6297524833593885
38,Yadgir,1648,235682,2018,0.6992472908410485,0.6992472908410485
39,Gurmitkal,2418,245215,2018,0.9860734457516873,0.9860734457516873
40,Chittapur,1052,231920,2018,0.45360469127285274,0.45360469127285274
41,Sedam,1260,215147,2018,0.5856460931363208,0.5856460931363208
42,Chincholi,1082,193648,2018,0.5587457655126828,0.5587457655126828
43,Gulbarga Rural,1612,250497,2018,0.6435206808863978,0.6435206808863978
44,Gulbarga Dakshin,1114,263662,2018,0.42251063862065824,0.42251063862065824
45,Gulbarga Uttar,1116,274281,2018,0.4068819932842596,0.4068819932842596
46,Aland,1445,233841,2018,0.6179412506788801,0.6179412506788801
47,Basavakalyan,1410,224318,2018,0.6285719380522294,0.6285719380522294
48,Humnabad,1173,238628,2018,0.4915600851534606,0.4915600851534606
49,Bidar South,957,199222,2018,0.48036863398620633,0.48036863398620633
50,Bidar,690,216853,2018,0.3181878968702301,0.3181878968702301
51,Bhalki,1042,224708,2018,0.46371290741762644,0.46371290741762644
52,Aurad,964,214461,2018,0.44949897650388654,0.44949897650388654
53,Raichur Rural,1806,233464,2018,0.7735668025905493,0.7735668025905493
54,Raichur,587,228286,2018,0.2571335955774774,0.2571335955774774
55,Manvi,1870,244675,2018,0.7642791458056606,0.7642791458056606
56,Devadurga,1932,227846,2018,0.8479411532350798,0.8479411532350798
57,Lingsugur,2074,240984,2018,0.8606380506589649,0.8606380506589649
58,Sindhanur,1344,234521,2018,0.5730830074918665,0.5730830074918665
59,Maski,2049,198451,2018,1.0324966868395724,1.0324966868395724
60,Kushtagi,1867,224827,2018,0.8304162756252585,0.8304162756252585
61,Kanakagiri,1677,211567,2018,0.7926566997688675,0.7926566997688675
62,Gangawati,1615,194079,2018,0.8321353675565105,0.8321353675565105
63,Yelburga,1510,207232,2018,0.7286519456454601,0.7286519456454601
64,Koppal,1454,241032,2018,0.603239403896578,0.603239403896578
65,Shirahatti,1209,212260,2018,0.5695844718741166,0.5695844718741166
66,Gadag,2007,219575,2018,0.9140384834339065,0.9140384834339065
