,constituency,name,party,age,cases,assets,liabilities,education_category,education,constituency_category,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category,votes,gender,is_re_elected,eligible_male_voters,eligible_female_voters,eligible_other_voters,eligible_total_voters,const_num,turnout
58,Mangalore City South,D. Vedavyasa Kamath,BJP,45.0,1.0,402250804.0,58444647.0,Graduates,Bachelor of Commerce From Canara College - Mangaluru University - Year 2000,GEN,Dakshina Kannada,Business Politician,Business,"Business / Entrepreneurship, Politics / Public Service",Business / Entrepreneurship,91437,M,1,117475,128222,47,245744,203,161943
59,Kanakapura,D K Shivakumar,INC,60.0,19.0,14138002404.0,5030730087.0,Postgraduates,"Master Degree- (Master of Arts in Political Science) Year 2006, Karnataka State Open University Mysore",GEN,Ramanagaram,"Agriculturist, Businessmen, Educationist and Social Worker",Businesswomen and Educationist,"Agriculture / Farming, Business / Entrepreneurship, Education / Academia, Social Work / Activism","Business / Entrepreneurship, Education / Academia",143023,M,0,111030,113921,5,224956,184,190623
60,Malleshwaram,Dr. Ashwath Narayan.C.N.,BJP,55.0,1.0,175349088.0,4043160.0,Doctorates,"MBBS - Bachelor of Medicine Bachelor of Surgery , Kasturba Medical College Mangalore Univeristy Year of 1995",GEN,B.B.M.P(North),Doctor (MBBS),Business,Medicine / Healthcare,Business / Entrepreneurship,80606,M,1,113763,113672,8,227443,157,126493
61,Gandhi Nagar,Dinesh Gundu Rao,INC,53.0,0.0,480688573.0,63151909.0,Graduates,"B.E, (E C) in 1992 from BMS College, Bangalore",GEN,B.B.M.P(Central),"MLA, Social Service and Agriculture",Selling of Art Paintings,"Politics / Public Service, Social Work / Activism, Agriculture / Farming",Arts / Entertainment,54118,M,1,119277,112108,25,231410,164,132609
62,Koratagere,Dr. G. Parameshwara,INC,72.0,3.0,212700996.0,153909213.0,Doctorates,"Ph.D. In 1984 - Waite Agricultral Research Institute - University of Adelaide, Australia",SC,Tumkur,"LIC Agent, Agricultural Consultant",Artist,"Banking / Finance, Agriculture / Farming",Arts / Entertainment,79099,M,1,102086,102495,17,204598,134,174578
63,Kumta,Dinakar Keshav Shetty,BJP,65.0,0.0,43906516.0,977000.0,Higher Secondary Education,"Pre-University Education, ( Commerce) in 1975 D A.V. Baaliga Commerce College, Kumta",GEN,Uttara Kannada,"Owner, Vijaya Sawmill, Koppalakarwadi, Kumta,581343",Agriculture,Construction / Real Estate,Agriculture / Farming,59965,M,1,94247,94485,3,188735,78,148530
64,Haliyal,Deshpande R.V,INC,76.0,1.0,3632113405.0,145197662.0,Graduates,"LLB from Shivaji University in 1970, B.A. (Hons) from Karnataka University in 1967",GEN,Uttara Kannada,Social Worker,Investor,Social Work / Activism,Business / Entrepreneurship,57240,M,1,91132,89899,2,181033,76,142827
65,Mangalore City North,Dr.Bharath Shetty. Y,BJP,52.0,0.0,113939904.0,9648789.0,Doctorates,Masters in Dentals Surgery (M.D.S.) from Rajiv Gandhi University Health Science Bangaluru in the year 1998,GEN,Dakshina Kannada,Prosthodontist,"Associate Professor Manipal College of Dental Science, Mangaluru",Medicine / Healthcare,Education / Academia,103531,M,1,120947,128461,13,249421,202,182363
66,Chintamani,Dr M C Sudhakar,INC,54.0,0.0,655422193.0,26871536.0,Postgraduates,"Dental Surgeon MDS (Prosthodontics) from A B Sheety Memorial Institute of Dental Sciences, Mangalore University In 1994",GEN,Chikkaballapur,"Ex MLA Partner in Anjani Infra, Partnership Firm","Land Lady Partner and Signatory in Anani Infra, Partnership Firm","Politics / Public Service, Business / Entrepreneurship",Construction / Real Estate,97324,M,0,111191,114171,42,225404,143,190632
67,Melukote,Dharshan Puttannaiah,SKP,46.0,0.0,401519434.0,209744535.0,Graduates,B.E. From Sri Jayachamarajendra College of Engineering Mysore -2001,GEN,Mandya,Businessman,Environmental Engineer,Business / Entrepreneurship,Environmental Conservation,91151,M,0,99354,100764,7,200125,188,183883
68,Kushtagi,Doddanagouda Hanamagouda Patil,BJP,49.0,1.0,38183033.0,,Higher Secondary Education,Govt P.U.College Kushtagi 1992,GEN,Koppal,"Agriculture,","House wife ,Agriculture",Agriculture / Farming,"Not Given, Agriculture / Farming",92915,M,0,117661,115955,9,233625,60,183082
69,Madikeri,Dr. Mantar Gowda,INC,38.0,0.0,70636564.0,2200000.0,Doctorates,"M.D. , M.B.B.S. from Radio Diagnosis KIMS Bengaluru In 2011",GEN,Kodagu,Doctor Radiologist,Micro Interior Designer,Medicine / Healthcare,Arts / Entertainment,84879,M,0,113585,118553,10,232148,208,177416
70,T.Narasipur,Dr. H C Mahadevappa,INC,70.0,2.0,38217051.0,4431900.0,Postgraduates,"MBBS from JJM Medical College, Davanagere, year 1999",SC,Mysore,Social Service,House Wife,Social Work / Activism,Cound't Classify,77884,M,0,100249,102291,15,202555,220,162256
