const_num,total_electors,total_const_votes,Year,constituency
217,235672,140554,2018,Chamaraja
218,262066,161885,2018,Narasimharaja
219,221053,175048,2018,Varuna
220,198441,155286,2018,T.Narasipur
221,207662,170333,2018,Hanur
222,211555,168871,2018,Kollegal
223,206162,167111,2018,Chamarajanagar
224,205646,182902,2018,Gundlupet
1,226662,187412,2023,Nippani
2,224693,183835,2023,Chikkodi-Sadalga
3,229195,192279,2023,Athani
4,195985,162078,2023,Kagwad
5,193564,150040,2023,Kudachi
6,211461,165288,2023,Raybag
7,208204,167903,2023,Hukkeri
8,248632,190105,2023,Arabhavi
9,256471,190390,2023,Gokak
10,203082,166446,2023,Yemkanmardi
11,251578,149478,2023,Belgaum Uttar
12,248626,159111,2023,Belgaum Dakshin
13,259537,204562,2023,Belgaum Rural
14,214456,161013,2023,Khanapur
15,195886,156660,2023,Kittur
16,195828,152596,2023,Bailhongal
17,199847,163317,2023,Saundatti Yellamma
18,203880,154029,2023,Ramdurg
19,201307,158767,2023,Mudhol
20,227749,179661,2023,Terdal
21,214797,167688,2023,Jamkhandi
22,231594,184837,2023,Bilgi
23,220435,169038,2023,Badami
24,245532,170370,2023,Bagalkot
25,222676,165361,2023,Hungund
26,217281,155021,2023,Muddebihal
27,219228,151983,2023,Devar Hippargi
28,210088,158446,2023,Basavana Bagevadi
29,217491,179186,2023,Babaleshwar
30,281726,183047,2023,Bijapur City
31,269309,180540,2023,Nagthan
32,242910,180859,2023,Indi
33,236670,173399,2023,Sindgi
34,228171,160322,2023,Afzalpur
35,239914,167404,2023,Jevargi
36,275483,207530,2023,Shorapur
37,238979,166714,2023,Shahapur
38,237435,155002,2023,Yadgir
39,248181,162330,2023,Gurmitkal
40,235755,153195,2023,Chittapur
41,225688,175997,2023,Sedam
42,203600,149940,2023,Chincholi
43,257752,162119,2023,Gulbarga Rural
44,279251,159567,2023,Gulbarga Dakshin
45,307091,178845,2023,Gulbarga Uttar
46,241750,174588,2023,Aland
47,246581,175991,2023,Basavakalyan
48,245996,178807,2023,Humnabad
49,205201,153384,2023,Bidar South
50,228035,150277,2023,Bidar
51,230959,174778,2023,Bhalki
52,219444,158603,2023,Aurad
53,229071,173361,2023,Raichur Rural
54,232744,145343,2023,Raichur
55,233867,157730,2023,Manvi
56,233492,175406,2023,Devadurga
57,255628,174238,2023,Lingsugur
58,239285,175412,2023,Sindhanur
59,211183,150798,2023,Maski
60,233835,183082,2023,Kushtagi
61,224068,176553,2023,Kanakagiri
62,202243,159859,2023,Gangawati
63,223211,176998,2023,Yelburga
64,254021,194749,2023,Koppal
65,226999,163974,2023,Shirahatti
66,222792,170232,2023,Gadag
67,232510,178196,2023,Ron
68,187212,150236,2023,Nargund
69,207237,161914,2023,Navalgund
70,186825,155086,2023,Kundgol
71,214132,165663,2023,Dharwad
72,209530,148640,2023,Hubli-Dharwad East
73,249371,160401,2023,Hubli-Dharwad Central
74,263230,170567,2023,Hubli-Dharwad West
75,194742,162253,2023,Kalghatgi
76,181519,142827,2023,Haliyal
77,219544,164267,2023,Karwar
78,188894,148530,2023,Kumta
79,222794,174848,2023,Bhatkal
80,200755,160538,2023,Sirsi
81,182472,150338,2023,Yellapur
82,211927,179272,2023,Hangal
83,226226,182027,2023,Shiggaon
84,233307,181383,2023,Haveri
85,208910,175863,2023,Byadgi
86,185982,159497,2023,Hirekerur
87,237234,193020,2023,Ranibennur
88,191338,149956,2023,Hadagalli
89,230042,189065,2023,Hagaribommanahalli
90,249956,180837,2023,Vijayanagara
91,214473,181884,2023,Kampli
92,217209,168106,2023,Siruguppa
93,238361,182692,2023,Bellary
94,259221,178350,2023,Bellary City
95,223337,172833,2023,Sandur
96,203802,163810,2023,Kudligi
97,243788,203405,2023,Molakalmuru
98,220968,178061,2023,Challakere
99,262552,203906,2023,Chitradurga
100,243619,200016,2023,Hiriyur
101,197693,167580,2023,Hosadurga
102,235346,197079,2023,Holalkere
103,193028,156483,2023,Jagalur
104,217175,177425,2023,Harapanahalli
105,207589,168473,2023,Harihar
106,241278,167891,2023,Davanagere North
107,210708,146382,2023,Davanagere South
108,191421,161790,2023,Mayakonda
109,199517,166402,2023,Channagiri
110,199012,170124,2023,Honnali
111,212458,180848,2023,Shimoga Rural
112,212359,155311,2023,Bhadravati
113,260757,179829,2023,Shimoga
114,188267,161756,2023,Tirthahalli
115,198883,166729,2023,Shikaripura
116,195341,164036,2023,Sorab
117,205262,166465,2023,Sagar
118,235716,185683,2023,Byndoor
119,209592,167471,2023,Kundapura
120,216989,166060,2023,Udupi
121,189007,151355,2023,Kapu
122,190611,156843,2023,Karkal
123,170579,141580,2023,Sringeri
124,172084,133811,2023,Mudigere
125,230738,170072,2023,Chikmagalur
126,193745,154149,2023,Tarikere
127,206584,169248,2023,Kadur
128,218952,188657,2023,Chiknayakanhalli
129,184334,156069,2023,Tiptur
130,182717,160338,2023,Turuvekere
131,198794,174277,2023,Kunigal
132,258925,175085,2023,Tumkur City
133,208826,182389,2023,Tumkur Rural
134,204692,174578,2023,Koratagere
135,181139,160136,2023,Gubbi
136,223648,190706,2023,Sira
137,193100,167390,2023,Pavagada
138,193581,166615,2023,Madhugiri
139,210462,180815,2023,Gauribidanur
140,201055,173372,2023,Bagepalli
141,209846,184817,2023,Chikkaballapur
142,203564,177260,2023,Sidlaghatta
143,225460,190632,2023,Chintamani
144,216763,190972,2023,Srinivaspur
145,216636,176501,2023,Mulbagal
146,199982,148051,2023,Kolar Gold Field
147,205294,164294,2023,Bangarapet
148,240487,192818,2023,Kolar
149,192717,173292,2023,Malur
150,439087,274807,2023,Yelahanka
151,510777,269462,2023,K.R.Pura
152,508799,294274,2023,Byatarayanapura
153,564208,357911,2023,Yeshvanthapura
154,485815,262701,2023,Rajarajeshwarinagar
155,457187,229641,2023,Dasarahalli
156,292040,159103,2023,Mahalakshmi Layout
157,227484,126493,2023,Malleshwaram
158,288971,159132,2023,Hebbal
159,239090,130869,2023,Pulakeshinagar
160,366876,194604,2023,Sarvagnanagar
161,271340,129325,2023,C.V. Raman Nagar
162,194070,110447,2023,Shivajinagar
163,220880,119970,2023,Shanti Nagar
164,231449,132609,2023,Gandhi Nagar
165,207557,118187,2023,Rajaji Nagar
166,296389,161453,2023,Govindraj Nagar
167,305856,158713,2023,Vijay Nagar
168,229914,124767,2023,Chamrajpet
169,221216,128828,2023,Chickpet
170,233600,128286,2023,Basavanagudi
171,278959,159991,2023,Padmanaba Nagar
172,275067,135231,2023,B.T.M.Layout
173,210079,120743,2023,Jayanagar
174,607255,334616,2023,Mahadevapura
175,452808,215037,2023,Bommanahalli
176,695797,382112,2023,Bangalore South
177,402620,251702,2023,Anekal
178,234098,213896,2023,Hosakote
179,212209,180569,2023,Devanahalli
180,214240,182365,2023,Doddaballapur
181,217473,172882,2023,Nelamangala
182,233433,202508,2023,Magadi
183,216086,182750,2023,Ramanagaram
184,224987,190623,2023,Kanakapura
185,230381,197796,2023,Channapatna
186,248577,197983,2023,Malavalli
187,213854,183390,2023,Maddur
188,200184,183883,2023,Melukote
189,224370,174546,2023,Mandya
190,213244,185194,2023,Shrirangapattana
191,214272,192146,2023,Nagamangala
192,219983,189545,2023,Krishnarajpet
193,205242,175067,2023,Shravanabelagola
194,216204,186111,2023,Arsikere
195,197840,164021,2023,Belur
196,228436,171038,2023,Hassan
197,220511,185444,2023,Holenarasipur
198,227985,194067,2023,Arkalgud
199,205876,164898,2023,Sakaleshpur
200,228941,189007,2023,Belthangady
201,205099,158721,2023,Moodabidri
202,249464,182363,2023,Mangalore City North
203,245805,161943,2023,Mangalore City South
204,205149,159999,2023,Mangalore
205,228415,185572,2023,Bantval
206,212848,172762,2023,Puttur
207,206210,164732,2023,Sullia
208,232799,177416,2023,Madikeri
209,224936,167778,2023,Virajpet
210,195631,165205,2023,Periyapatna
211,218050,188841,2023,Krishnarajanagara
212,241653,200945,2023,Hunsur
213,225857,182371,2023,Heggadadevankote
214,220420,175864,2023,Nanjangud
215,329223,247118,2023,Chamundeshwari
216,250435,150322,2023,Krishnaraja
217,246297,150615,2023,Chamaraja
218,288775,184941,2023,Narasimharaja
219,234533,199379,2023,Varuna
220,204865,162256,2023,T.Narasipur
221,221630,180366,2023,Hanur
222,216643,167779,2023,Kollegal
223,209521,173057,2023,Chamarajanagar
224,213888,187995,2023,Gundlupet
