,name,age,gender,party,votes,percent_votes,constituency,constituency_category,total_electors,voter_turnout
151,Umanatha. A. Kotian,58.0,M,BJP,87444,57.4356144948669,Moodabidri,GEN,200066,152247
152,Ameenappa Gouda S Patil (Nadahalli),49.0,M,BJP,63512,45.75858441764291,Muddebihal,GEN,205694,138798
153,Govind Makthappa Karajol,67.0,M,BJP,76431,51.63245039823278,Mudhol,SC,196118,148029
154,M.P.Kumaraswamy,55.0,M,BJP,58783,44.76385567858176,Mudigere,SC,170221,131318
155,H.Nagesh,60.0,M,IND,74213,45.11702839078364,Mulbagal,SC,203419,164490
156,Suresh Gowdaa,54.0,M,JD(S),112396,61.93572562158349,Nagamangala,GEN,206678,181472
157,Devanand Fulasing Chavan,47.0,M,JD(S),59709,34.0012983463168,Nagthan,SC,260452,175608
158,B. Harshavardhan,41.0,M,BJP,78030,47.58536154019722,Nanjangud,SC,209121,163979
159,Tanveer Sait,51.0,M,INC,62268,38.46434197115236,Narasimharaja,GEN,262066,161885
160,Chandrakantagouda Channappagouda Patil,59.0,M,BJP,73045,50.51696116739859,Nargund,GEN,187655,144595
161,Shankar B. Patil Munenakoppa,49.0,M,BJP,65718,41.190628408108005,Navalgund,GEN,204041,159546
162,Dr. K .Sreenivasamurthy,56.0,M,JD(S),69277,42.913246817604616,Nelamangala,SC,203761,161435
163,Jolle Shashikala Annasaheb,49.0,F,BJP,87006,50.51117264921539,Nippani,GEN,212456,172251
164,R Ashoka,60.0,M,BJP,77868,48.183258254541855,Padmanaba Nagar,GEN,278223,161608
165,Venkataramanappa,69.0,M,INC,72974,44.79378310856848,Pavagada,SC,197250,162911
166,K. Mahadeva,63.0,M,JD(S),77770,49.94348686069511,Periyapatna,GEN,180460,155716
167,R. Akhanda Srinivasamurthy,48.0,M,INC,97574,77.17508225765629,Pulakeshinagar,SC,237288,126432
168,Sanjeeva Matandoor,53.0,M,BJP,90073,54.17240529015884,Puttur,GEN,201948,166271
169,Dr. Shivaraj Patil,47.0,M,BJP,56511,45.61311464824202,Raichur,GEN,228286,123892
170,Basanagouda Daddal,46.0,M,INC,66656,41.2268602989838,Raichur Rural,ST,233464,161681
171,S Suresh Kumar,62.0,M,BJP,56271,46.85657662458782,Rajaji Nagar,GEN,211132,120092
172,Munirathna,54.0,M,INC,108065,42.13947575707946,Rajarajeshwarinagar,GEN,471900,256446
173,H.D.Kumaraswamy,59.0,M,JD(S),92626,53.96150350709575,Ramanagaram,GEN,206999,171652
174,Mahadevappa Shivalingappa Yadawad,65.0,M,BJP,68349,45.16612920279129,Ramdurg,GEN,200580,151328
175,R Shankar S O M Ramachandra,52.0,M,KPJP,63910,35.639997546299654,Ranibennur,GEN,230349,179321
176,Aihole Duryodhan Mahalingappa,61.0,M,BJP,67502,44.88194735337336,Raybag,SC,195850,150399
177,Kalakappa Bandi,49.0,M,BJP,83735,49.0938725734488,Ron,GEN,224989,170561
178,H Halappa Harathalu,57.0,M,BJP,78475,50.64733064849237,Sagar,GEN,193884,154944
179,H K Kumaraswamy,63.0,M,JD(S),62262,38.67012819238796,Sakaleshpur,SC,195717,161008
180,E Tukaram,51.0,M,INC,78106,49.52507767421216,Sandur,ST,211504,157710
181,K.J George,68.0,M,INC,109955,61.74090773817879,Sarvagnanagar,GEN,347559,178091
182,Anand Vishwanath Chandrashekhar Mamani,53.0,M,BJP,62480,40.648766809579264,Saundatti Yellamma,GEN,191740,153707
183,Rajkumar Patil,43.0,M,BJP,80668,50.87217001954972,Sedam,GEN,215147,158570
184,Sharanabasappa Gouda Darshanapur,58.0,M,INC,78642,50.27296554369367,Shahapur,GEN,225803,156430
185,N A Haris,51.0,M,INC,60009,49.42266512930324,Shanti Nagar,GEN,226046,121420
186,Basavaraj Bommai,58.0,M,BJP,83868,49.02439879818091,Shiggaon,GEN,213210,171074
187,B S Yadiyurappa,75.0,M,BJP,86983,56.16045660272594,Shikaripura,GEN,188266,154883
188,K.S. Eshwarappa,70.0,M,BJP,104027,60.35659166598976,Shimoga,GEN,256373,172354
189,K.B. Ashok Naik,51.0,M,BJP,69326,40.24778226742836,Shimoga Rural,SC,211546,172248
190,Ramappa Sobeppa Lamani,66.0,M,BJP,91967,57.26320639585565,Shirahatti,SC,212260,160604
191,R Roshan Baig,64.0,M,INC,59742,55.04450218364753,Shivajinagar,GEN,196776,108534
192,Narasimhanayak (Rajugouda),39.0,M,BJP,104426,52.95543520152539,Shorapur,ST,275668,197196
193,C N Balakrishna,49.0,M,JD(S),105516,63.08464017314258,Shravanabelagola,GEN,202255,167261
194,Ravindra Srikantaiah,46.0,M,JD(S),101307,57.3473719962639,Shrirangapattana,GEN,208945,176655
195,V. Muniyappa,70.0,M,INC,76240,44.76227381078193,Sidlaghatta,GEN,198207,170322
196,Managuli Mallappa Channaveerappa,82.0,M,JD(S),70865,44.15374838002194,Sindgi,GEN,224963,160496
197,Venkatrao Nadagouda,61.0,M,JD(S),71514,43.74908236675965,Sindhanur,GEN,234521,163464
198,B Sathyanarayana,65.0,M,JD(S),74338,41.23840589357831,Sira,GEN,212652,180264
199,Kageri Vishweshwar Hegde,57.0,M,BJP,70595,45.52195977534032,Sirsi,GEN,190834,155079
